index,plant,staerke_txt,staerke_num,execution_time
23,Birke,keine,0,2020-05-25 18:32:46.885145
24,Eiche,schwach,1,2020-05-25 18:32:46.885145
25,Esche,schwach,1,2020-05-25 18:32:46.885145
26,Platane,schwach,1,2020-05-25 18:32:46.885145
28,Flieder,schwach,1,2020-05-25 18:32:46.885145
29,Ambrosia,keine,0,2020-05-25 18:32:46.885145
30,Buche,schwach,1,2020-05-25 18:32:46.885145
31,Rotbuche,schwach,1,2020-05-25 18:32:46.885145
32,Ahorn,schwach,1,2020-05-25 18:32:46.885145
33,Nessel,schwach,1,2020-05-25 18:32:46.885145
35,Kiefer,schwach,1,2020-05-25 18:32:46.885145
36,Tanne,mäßig,2,2020-05-25 18:32:46.885145
37,Fichte,mäßig,2,2020-05-25 18:32:46.885145
0,Erle,keine,0,2020-05-26 20:59:23.826117
1,Hasel,keine,0,2020-05-26 20:59:23.826117
2,L\xf6wenzahn,mäßig,2,2020-05-26 20:59:23.826117
3,Gr\xe4ser,mäßig,2,2020-05-26 20:59:23.826117
4,Gerste,mäßig,2,2020-05-26 20:59:23.826117
5,Linde,mäßig,2,2020-05-26 20:59:23.826117
7,Beifu\xdf,mäßig,2,2020-05-26 20:59:23.826117
8,G\xe4nsefu\xdf,schwach,1,2020-05-26 20:59:23.826117
9,Mais,schwach,1,2020-05-26 20:59:23.826117
10,Brennessel,mäßig,2,2020-05-26 20:59:23.826117
11,Hafer,mäßig,2,2020-05-26 20:59:23.826117
12,Roggen,mäßig,2,2020-05-26 20:59:23.826117
14,Weizen,mäßig,2,2020-05-26 20:59:23.826117
15,Spitzwegerich,mäßig,2,2020-05-26 20:59:23.826117
16,Raps,mäßig,2,2020-05-26 20:59:23.826117
17,Hopfen,mäßig,2,2020-05-26 20:59:23.826117
18,Holunder,mäßig,2,2020-05-26 20:59:23.826117
19,Ulme,keine,0,2020-05-26 20:59:23.826117
21,Pappel,schwach,1,2020-05-26 20:59:23.826117
22,Weide,schwach,1,2020-05-26 20:59:23.826117
23,Birke,keine,0,2020-05-26 20:59:23.826117
24,Eiche,schwach,1,2020-05-26 20:59:23.826117
25,Esche,schwach,1,2020-05-26 20:59:23.826117
26,Platane,schwach,1,2020-05-26 20:59:23.826117
28,Flieder,schwach,1,2020-05-26 20:59:23.826117
29,Ambrosia,keine,0,2020-05-26 20:59:23.826117
30,Buche,mäßig,2,2020-05-26 20:59:23.826117
31,Rotbuche,mäßig,2,2020-05-26 20:59:23.826117
32,Ahorn,mäßig,2,2020-05-26 20:59:23.826117
33,Nessel,schwach,1,2020-05-26 20:59:23.826117
35,Kiefer,mäßig,2,2020-05-26 20:59:23.826117
36,Tanne,mäßig,2,2020-05-26 20:59:23.826117
37,Fichte,mäßig,2,2020-05-26 20:59:23.826117
0,Erle,keine,0,2020-05-27 09:26:23.088524
1,Hasel,keine,0,2020-05-27 09:26:23.088524
2,L\xf6wenzahn,stark,3,2020-05-27 09:26:23.088524
3,Gr\xe4ser,stark,3,2020-05-27 09:26:23.088524
4,Gerste,stark,3,2020-05-27 09:26:23.088524
5,Linde,mäßig,2,2020-05-27 09:26:23.088524
7,Beifu\xdf,mäßig,2,2020-05-27 09:26:23.088524
8,G\xe4nsefu\xdf,schwach,1,2020-05-27 09:26:23.088524
9,Mais,schwach,1,2020-05-27 09:26:23.088524
10,Brennessel,mäßig,2,2020-05-27 09:26:23.088524
11,Hafer,mäßig,2,2020-05-27 09:26:23.088524
12,Roggen,mäßig,2,2020-05-27 09:26:23.088524
14,Weizen,mäßig,2,2020-05-27 09:26:23.088524
15,Spitzwegerich,stark,3,2020-05-27 09:26:23.088524
16,Raps,mäßig,2,2020-05-27 09:26:23.088524
17,Hopfen,stark,3,2020-05-27 09:26:23.088524
18,Holunder,stark,3,2020-05-27 09:26:23.088524
19,Ulme,keine,0,2020-05-27 09:26:23.088524
21,Pappel,schwach,1,2020-05-27 09:26:23.088524
22,Weide,schwach,1,2020-05-27 09:26:23.088524
23,Birke,keine,0,2020-05-27 09:26:23.088524
24,Eiche,schwach,1,2020-05-27 09:26:23.088524
25,Esche,schwach,1,2020-05-27 09:26:23.088524
26,Platane,schwach,1,2020-05-27 09:26:23.088524
28,Flieder,schwach,1,2020-05-27 09:26:23.088524
29,Ambrosia,keine,0,2020-05-27 09:26:23.088524
30,Buche,mäßig,2,2020-05-27 09:26:23.088524
31,Rotbuche,mäßig,2,2020-05-27 09:26:23.088524
32,Ahorn,mäßig,2,2020-05-27 09:26:23.088524
33,Nessel,schwach,1,2020-05-27 09:26:23.088524
35,Kiefer,mäßig,2,2020-05-27 09:26:23.088524
36,Tanne,stark,3,2020-05-27 09:26:23.088524
37,Fichte,stark,3,2020-05-27 09:26:23.088524
0,Erle,keine,0,2020-05-28 21:38:25.211624
1,Hasel,keine,0,2020-05-28 21:38:25.211624
2,L\xf6wenzahn,stark,3,2020-05-28 21:38:25.211624
3,Gr\xe4ser,stark,3,2020-05-28 21:38:25.211624
4,Gerste,stark,3,2020-05-28 21:38:25.211624
5,Linde,mäßig,2,2020-05-28 21:38:25.211624
7,Beifu\xdf,mäßig,2,2020-05-28 21:38:25.211624
8,G\xe4nsefu\xdf,schwach,1,2020-05-28 21:38:25.211624
9,Mais,schwach,1,2020-05-28 21:38:25.211624
10,Brennessel,mäßig,2,2020-05-28 21:38:25.211624
11,Hafer,mäßig,2,2020-05-28 21:38:25.211624
12,Roggen,mäßig,2,2020-05-28 21:38:25.211624
14,Weizen,mäßig,2,2020-05-28 21:38:25.211624
15,Spitzwegerich,stark,3,2020-05-28 21:38:25.211624
16,Raps,mäßig,2,2020-05-28 21:38:25.211624
17,Hopfen,stark,3,2020-05-28 21:38:25.211624
18,Holunder,stark,3,2020-05-28 21:38:25.211624
19,Ulme,keine,0,2020-05-28 21:38:25.211624
21,Pappel,schwach,1,2020-05-28 21:38:25.211624
22,Weide,schwach,1,2020-05-28 21:38:25.211624
23,Birke,keine,0,2020-05-28 21:38:25.211624
24,Eiche,schwach,1,2020-05-28 21:38:25.211624
25,Esche,schwach,1,2020-05-28 21:38:25.211624
26,Platane,schwach,1,2020-05-28 21:38:25.211624
28,Flieder,schwach,1,2020-05-28 21:38:25.211624
29,Ambrosia,keine,0,2020-05-28 21:38:25.211624
30,Buche,mäßig,2,2020-05-28 21:38:25.211624
31,Rotbuche,mäßig,2,2020-05-28 21:38:25.211624
32,Ahorn,mäßig,2,2020-05-28 21:38:25.211624
33,Nessel,schwach,1,2020-05-28 21:38:25.211624
35,Kiefer,mäßig,2,2020-05-28 21:38:25.211624
36,Tanne,stark,3,2020-05-28 21:38:25.211624
37,Fichte,stark,3,2020-05-28 21:38:25.211624
